date,bitcoin,BTC,bitcoinyear,BTCyear,adj,gtrends
2015-09-02,53,46,,,0.03125,1.65625
2015-09-03,47,39,,,0.03125,1.46875
2015-09-04,50,32,,,0.03125,1.5625
2015-09-05,49,38,,,0.03125,1.53125
2015-09-06,50,43,2.0,3.0,0.04,2.0
2015-09-07,52,100,,,0.04,2.08
2015-09-08,52,91,,,0.04,2.08
2015-09-09,52,93,,,0.04,2.08
2015-09-10,52,65,,,0.04,2.08
2015-09-11,48,45,,,0.04,1.92
2015-09-12,47,35,,,0.04,1.8800000000000001
2015-09-13,47,28,2.0,2.0,0.0425531914893617,2.0
2015-09-14,49,32,,,0.0425531914893617,2.0851063829787235
2015-09-15,50,31,,,0.0425531914893617,2.127659574468085
2015-09-16,53,44,,,0.0425531914893617,2.25531914893617
2015-09-17,56,48,,,0.0425531914893617,2.382978723404255
2015-09-18,58,45,,,0.0425531914893617,2.4680851063829787
2015-09-19,51,42,,,0.0425531914893617,2.1702127659574466
2015-09-20,47,41,2.0,2.0,0.0425531914893617,2.0
2015-09-21,54,57,,,0.0425531914893617,2.2978723404255317
2015-09-22,53,63,,,0.0425531914893617,2.25531914893617
2015-09-23,53,52,,,0.0425531914893617,2.25531914893617
2015-09-24,50,44,,,0.0425531914893617,2.127659574468085
2015-09-25,50,42,,,0.0425531914893617,2.127659574468085
2015-09-26,51,41,,,0.0425531914893617,2.1702127659574466
2015-09-27,47,36,2.0,1.0,0.0425531914893617,2.0
2015-09-28,49,33,,,0.0425531914893617,2.0851063829787235
2015-09-29,49,37,,,0.0425531914893617,2.0851063829787235
2015-09-30,49,38,,,0.0425531914893617,2.0851063829787235
2015-09-30,68,44,,,0.0425531914893617,2.8936170212765955
2015-10-01,62,42,,,0.0425531914893617,2.6382978723404253
2015-10-02,62,52,,,0.0425531914893617,2.6382978723404253
2015-10-03,57,52,,,0.0425531914893617,2.4255319148936167
2015-10-04,59,45,2.0,1.0,0.03389830508474576,2.0
2015-10-05,65,41,,,0.03389830508474576,2.2033898305084745
2015-10-06,74,46,,,0.03389830508474576,2.5084745762711864
2015-10-07,71,43,,,0.03389830508474576,2.406779661016949
2015-10-08,69,41,,,0.03389830508474576,2.3389830508474576
2015-10-09,63,39,,,0.03389830508474576,2.135593220338983
2015-10-10,64,36,,,0.03389830508474576,2.169491525423729
2015-10-11,63,36,2.0,1.0,0.031746031746031744,2.0
2015-10-12,63,40,,,0.031746031746031744,2.0
2015-10-13,64,41,,,0.031746031746031744,2.0317460317460316
2015-10-14,67,41,,,0.031746031746031744,2.126984126984127
2015-10-15,64,39,,,0.031746031746031744,2.0317460317460316
2015-10-16,69,39,,,0.031746031746031744,2.1904761904761902
2015-10-17,69,37,,,0.031746031746031744,2.1904761904761902
2015-10-18,72,35,2.0,1.0,0.027777777777777776,2.0
2015-10-19,69,34,,,0.027777777777777776,1.9166666666666665
2015-10-20,78,35,,,0.027777777777777776,2.1666666666666665
2015-10-21,75,33,,,0.027777777777777776,2.083333333333333
2015-10-22,78,33,,,0.027777777777777776,2.1666666666666665
2015-10-23,73,37,,,0.027777777777777776,2.0277777777777777
2015-10-24,73,35,,,0.027777777777777776,2.0277777777777777
2015-10-25,77,37,2.0,1.0,0.025974025974025976,2.0
2015-10-26,79,35,,,0.025974025974025976,2.051948051948052
2015-10-27,82,41,,,0.025974025974025976,2.12987012987013
2015-10-28,78,36,,,0.025974025974025976,2.025974025974026
2015-10-29,96,47,,,0.025974025974025976,2.4935064935064934
2015-10-30,100,61,,,0.025974025974025976,2.5974025974025974
2015-10-31,86,58,,,0.025974025974025976,2.233766233766234
2015-10-31,45,27,,,0.025974025974025976,1.168831168831169
2015-11-01,49,22,4.0,1.0,0.08163265306122448,3.9999999999999996
2015-11-02,53,24,,,0.08163265306122448,4.326530612244897
2015-11-03,77,27,,,0.08163265306122448,6.285714285714286
2015-11-04,100,31,,,0.08163265306122448,8.16326530612245
2015-11-05,88,25,,,0.08163265306122448,7.183673469387754
2015-11-06,64,22,,,0.08163265306122448,5.224489795918367
2015-11-07,54,18,,,0.08163265306122448,4.408163265306122
2015-11-08,49,16,3.0,1.0,0.061224489795918366,3.0
2015-11-09,55,18,,,0.061224489795918366,3.36734693877551
2015-11-10,53,17,,,0.061224489795918366,3.2448979591836733
2015-11-11,54,17,,,0.061224489795918366,3.306122448979592
2015-11-12,47,19,,,0.061224489795918366,2.877551020408163
2015-11-13,45,16,,,0.061224489795918366,2.7551020408163263
2015-11-14,40,16,,,0.061224489795918366,2.4489795918367347
2015-11-15,40,16,3.0,1.0,0.075,3.0
2015-11-16,43,17,,,0.075,3.225
2015-11-17,42,17,,,0.075,3.15
2015-11-18,46,16,,,0.075,3.4499999999999997
2015-11-19,47,15,,,0.075,3.525
2015-11-20,46,18,,,0.075,3.4499999999999997
2015-11-21,42,15,,,0.075,3.15
2015-11-22,42,14,2.0,1.0,0.047619047619047616,2.0
2015-11-23,43,16,,,0.047619047619047616,2.0476190476190474
2015-11-24,45,15,,,0.047619047619047616,2.142857142857143
2015-11-25,41,17,,,0.047619047619047616,1.9523809523809523
2015-11-26,43,16,,,0.047619047619047616,2.0476190476190474
2015-11-27,40,17,,,0.047619047619047616,1.9047619047619047
2015-11-28,42,16,,,0.047619047619047616,2.0
2015-11-29,40,17,2.0,1.0,0.05,2.0
2015-11-30,48,17,,,0.05,2.4000000000000004
2015-11-30,39,15,,,0.05,1.9500000000000002
2015-12-01,40,15,,,0.05,2.0
2015-12-02,36,13,,,0.05,1.8
2015-12-03,34,14,,,0.05,1.7000000000000002
2015-12-04,35,13,,,0.05,1.75
2015-12-05,33,13,,,0.05,1.6500000000000001
2015-12-06,37,12,4.0,1.0,0.10810810810810811,4.0
2015-12-07,40,13,,,0.10810810810810811,4.324324324324325
2015-12-08,47,15,,,0.10810810810810811,5.081081081081082
2015-12-09,100,16,,,0.10810810810810811,10.81081081081081
2015-12-10,65,15,,,0.10810810810810811,7.027027027027027
2015-12-11,53,16,,,0.10810810810810811,5.72972972972973
2015-12-12,49,16,,,0.10810810810810811,5.297297297297297
2015-12-13,44,14,3.0,1.0,0.06818181818181818,3.0
2015-12-14,47,15,,,0.06818181818181818,3.204545454545454
2015-12-15,48,15,,,0.06818181818181818,3.2727272727272725
2015-12-16,46,16,,,0.06818181818181818,3.1363636363636362
2015-12-17,40,13,,,0.06818181818181818,2.727272727272727
2015-12-18,42,16,,,0.06818181818181818,2.8636363636363633
2015-12-19,40,15,,,0.06818181818181818,2.727272727272727
2015-12-20,39,14,3.0,1.0,0.07692307692307693,3.0
2015-12-21,38,14,,,0.07692307692307693,2.9230769230769234
2015-12-22,39,16,,,0.07692307692307693,3.0
2015-12-23,43,14,,,0.07692307692307693,3.307692307692308
2015-12-24,38,15,,,0.07692307692307693,2.9230769230769234
2015-12-25,38,16,,,0.07692307692307693,2.9230769230769234
2015-12-26,36,15,,,0.07692307692307693,2.769230769230769
2015-12-27,37,15,2.0,1.0,0.05405405405405406,2.0
2015-12-28,41,15,,,0.05405405405405406,2.2162162162162162
2015-12-29,39,16,,,0.05405405405405406,2.1081081081081083
2015-12-30,36,15,,,0.05405405405405406,1.945945945945946
2015-12-31,35,14,,,0.05405405405405406,1.891891891891892
2015-12-31,61,25,,,0.05405405405405406,3.2972972972972974
2016-01-01,61,20,,,0.05405405405405406,3.2972972972972974
2016-01-02,63,23,,,0.05405405405405406,3.4054054054054057
2016-01-03,62,21,3.0,1.0,0.04838709677419355,3.0
2016-01-04,66,26,,,0.04838709677419355,3.193548387096774
2016-01-05,67,27,,,0.04838709677419355,3.2419354838709675
2016-01-06,68,30,,,0.04838709677419355,3.290322580645161
2016-01-07,75,29,,,0.04838709677419355,3.629032258064516
2016-01-08,73,28,,,0.04838709677419355,3.532258064516129
2016-01-09,65,23,,,0.04838709677419355,3.1451612903225805
2016-01-10,64,22,3.0,1.0,0.046875,3.0
2016-01-11,68,23,,,0.046875,3.1875
2016-01-12,68,28,,,0.046875,3.1875
2016-01-13,74,23,,,0.046875,3.46875
2016-01-14,70,23,,,0.046875,3.28125
2016-01-15,100,27,,,0.046875,4.6875
2016-01-16,97,28,,,0.046875,4.546875
2016-01-17,79,24,3.0,1.0,0.0379746835443038,3.0
2016-01-18,81,30,,,0.0379746835443038,3.0759493670886076
2016-01-19,78,25,,,0.0379746835443038,2.9620253164556964
2016-01-20,82,28,,,0.0379746835443038,3.1139240506329116
2016-01-21,74,23,,,0.0379746835443038,2.810126582278481
2016-01-22,73,27,,,0.0379746835443038,2.7721518987341773
2016-01-23,68,24,,,0.0379746835443038,2.5822784810126582
2016-01-24,61,24,2.0,1.0,0.03278688524590164,2.0
2016-01-25,64,23,,,0.03278688524590164,2.098360655737705
2016-01-26,67,26,,,0.03278688524590164,2.19672131147541
2016-01-27,63,22,,,0.03278688524590164,2.0655737704918034
2016-01-28,70,24,,,0.03278688524590164,2.295081967213115
2016-01-29,66,24,,,0.03278688524590164,2.1639344262295084
2016-01-30,58,22,,,0.03278688524590164,1.9016393442622952
2016-01-31,63,19,2.0,1.0,0.031746031746031744,2.0
2016-01-31,73,21,2.0,1.0,0.0273972602739726,2.0
2016-02-01,71,25,,,0.0273972602739726,1.9452054794520546
2016-02-02,74,26,,,0.0273972602739726,2.0273972602739727
2016-02-03,75,27,,,0.0273972602739726,2.054794520547945
2016-02-04,78,28,,,0.0273972602739726,2.1369863013698627
